SRR10338065 2000	/scratch/n/nicholsa/zyfniu/PRJNA579178/SRR10338065_scRNAseq_of_homo_sapiens_HNSCC_TIL_1.fastq.gz	/scratch/n/nicholsa/zyfniu/PRJNA579178/SRR10338065_scRNAseq_of_homo_sapiens_HNSCC_TIL_2.fastq.gz
SRR10338081	2000	/scratch/n/nicholsa/zyfniu/PRJNA579178/SRR10338081_scRNAseq_of_homo_sapiens_HNSCC_PBMC_1.fastq.gz	/scratch/n/nicholsa/zyfniu/PRJNA579178/SRR10338081_scRNAseq_of_homo_sapiens_HNSCC_PBMC_2.fastq.gz
SRR10338082	2000	/scratch/n/nicholsa/zyfniu/PRJNA579178/SRR10338082_scRNAseq_of_homo_sapiens_HNSCC_TIL_1.fastq.gz	/scratch/n/nicholsa/zyfniu/PRJNA579178/SRR10338082_scRNAseq_of_homo_sapiens_HNSCC_TIL_2.fastq.gz
SRR10338083	2000	/scratch/n/nicholsa/zyfniu/PRJNA579178/SRR10338083_scRNAseq_of_homo_sapiens_HNSCC_TIL_1.fastq.gz	/scratch/n/nicholsa/zyfniu/PRJNA579178/SRR10338083_scRNAseq_of_homo_sapiens_HNSCC_TIL_2.fastq.gz
SRR10338084	2000	/scratch/n/nicholsa/zyfniu/PRJNA579178/SRR10338084_scRNAseq_of_homo_sapiens_HNSCC_PBMC_1.fastq.gz	/scratch/n/nicholsa/zyfniu/PRJNA579178/SRR10338084_scRNAseq_of_homo_sapiens_HNSCC_PBMC_2.fastq.gz
SRR10338085	2000	/scratch/n/nicholsa/zyfniu/PRJNA579178/SRR10338085_scRNAseq_of_homo_sapiens_HNSCC_TIL_1.fastq.gz	/scratch/n/nicholsa/zyfniu/PRJNA579178/SRR10338085_scRNAseq_of_homo_sapiens_HNSCC_TIL_2.fastq.gz
SRR10338086	2000	/scratch/n/nicholsa/zyfniu/PRJNA579178/SRR10338086_scRNAseq_of_homo_sapiens_HNSCC_PBMC_1.fastq.gz	/scratch/n/nicholsa/zyfniu/PRJNA579178/SRR10338086_scRNAseq_of_homo_sapiens_HNSCC_PBMC_2.fastq.gz
SRR10338087	2000	/scratch/n/nicholsa/zyfniu/PRJNA579178/SRR10338087_scRNAseq_of_homo_sapiens_HNSCC_TIL_1.fastq.gz	/scratch/n/nicholsa/zyfniu/PRJNA579178/SRR10338087_scRNAseq_of_homo_sapiens_HNSCC_TIL_2.fastq.gz
SRR10338088	2000	/scratch/n/nicholsa/zyfniu/PRJNA579178/SRR10338088_scRNAseq_of_homo_sapiens_HNSCC_PBMC_1.fastq.gz	/scratch/n/nicholsa/zyfniu/PRJNA579178/SRR10338088_scRNAseq_of_homo_sapiens_HNSCC_PBMC_2.fastq.gz
SRR10338089	2000	/scratch/n/nicholsa/zyfniu/PRJNA579178/SRR10338089_scRNAseq_of_homo_sapiens_HNSCC_TIL_1.fastq.gz	/scratch/n/nicholsa/zyfniu/PRJNA579178/SRR10338089_scRNAseq_of_homo_sapiens_HNSCC_TIL_2.fastq.gz
SRR10338090	2000	/scratch/n/nicholsa/zyfniu/PRJNA579178/SRR10338090_scRNAseq_of_homo_sapiens_HNSCC_PBMC_1.fastq.gz	/scratch/n/nicholsa/zyfniu/PRJNA579178/SRR10338090_scRNAseq_of_homo_sapiens_HNSCC_PBMC_2.fastq.gz
SRR10338091	2000	/scratch/n/nicholsa/zyfniu/PRJNA579178/SRR10338091_scRNAseq_of_homo_sapiens_HNSCC_TIL_1.fastq.gz	/scratch/n/nicholsa/zyfniu/PRJNA579178/SRR10338091_scRNAseq_of_homo_sapiens_HNSCC_TIL_2.fastq.gz
SRR10338092	2000	/scratch/n/nicholsa/zyfniu/PRJNA579178/SRR10338092_scRNAseq_of_homo_sapiens_HNSCC_PBMC_1.fastq.gz	/scratch/n/nicholsa/zyfniu/PRJNA579178/SRR10338092_scRNAseq_of_homo_sapiens_HNSCC_PBMC_2.fastq.gz
SRR10338093	2000	/scratch/n/nicholsa/zyfniu/PRJNA579178/SRR10338093_scRNAseq_of_homo_sapiens_HNSCC_PBMC_1.fastq.gz	/scratch/n/nicholsa/zyfniu/PRJNA579178/SRR10338093_scRNAseq_of_homo_sapiens_HNSCC_PBMC_2.fastq.gz
SRR10338094	2000	/scratch/n/nicholsa/zyfniu/PRJNA579178/SRR10338094_scRNAseq_of_homo_sapiens_HNSCC_TIL_1.fastq.gz	/scratch/n/nicholsa/zyfniu/PRJNA579178/SRR10338094_scRNAseq_of_homo_sapiens_HNSCC_TIL_2.fastq.gz
SRR10338095	2000	/scratch/n/nicholsa/zyfniu/PRJNA579178/SRR10338095_scRNAseq_of_homo_sapiens_HNSCC_PBMC_1.fastq.gz	/scratch/n/nicholsa/zyfniu/PRJNA579178/SRR10338095_scRNAseq_of_homo_sapiens_HNSCC_PBMC_2.fastq.gz
SRR10338096	2000	/scratch/n/nicholsa/zyfniu/PRJNA579178/SRR10338096_scRNAseq_of_homo_sapiens_HNSCC_TIL_1.fastq.gz	/scratch/n/nicholsa/zyfniu/PRJNA579178/SRR10338096_scRNAseq_of_homo_sapiens_HNSCC_TIL_2.fastq.gz
SRR10338097	2000	/scratch/n/nicholsa/zyfniu/PRJNA579178/SRR10338097_scRNAseq_of_homo_sapiens_HNSCC_PBMC_1.fastq.gz	/scratch/n/nicholsa/zyfniu/PRJNA579178/SRR10338097_scRNAseq_of_homo_sapiens_HNSCC_PBMC_2.fastq.gz
SRR10338098	2000	/scratch/n/nicholsa/zyfniu/PRJNA579178/SRR10338098_scRNAseq_of_homo_sapiens_HNSCC_TIL_1.fastq.gz	/scratch/n/nicholsa/zyfniu/PRJNA579178/SRR10338098_scRNAseq_of_homo_sapiens_HNSCC_TIL_2.fastq.gz
SRR10338099	2000	/scratch/n/nicholsa/zyfniu/PRJNA579178/SRR10338099_scRNAseq_of_homo_sapiens_HNSCC_PBMC_1.fastq.gz	/scratch/n/nicholsa/zyfniu/PRJNA579178/SRR10338099_scRNAseq_of_homo_sapiens_HNSCC_PBMC_2.fastq.gz
SRR10338100	2000	/scratch/n/nicholsa/zyfniu/PRJNA579178/SRR10338100_scRNAseq_of_homo_sapiens_HNSCC_TIL_1.fastq.gz	/scratch/n/nicholsa/zyfniu/PRJNA579178/SRR10338100_scRNAseq_of_homo_sapiens_HNSCC_TIL_2.fastq.gz
SRR10338101	2000	/scratch/n/nicholsa/zyfniu/PRJNA579178/SRR10338101_scRNAseq_of_homo_sapiens_HNSCC_PBMC_1.fastq.gz	/scratch/n/nicholsa/zyfniu/PRJNA579178/SRR10338101_scRNAseq_of_homo_sapiens_HNSCC_PBMC_2.fastq.gz
SRR10338102	2000	/scratch/n/nicholsa/zyfniu/PRJNA579178/SRR10338102_scRNAseq_of_homo_sapiens_HNSCC_TIL_1.fastq.gz	/scratch/n/nicholsa/zyfniu/PRJNA579178/SRR10338102_scRNAseq_of_homo_sapiens_HNSCC_TIL_2.fastq.gz
SRR10338103	2000	/scratch/n/nicholsa/zyfniu/PRJNA579178/SRR10338103_scRNAseq_of_homo_sapiens_HNSCC_PBMC_1.fastq.gz	/scratch/n/nicholsa/zyfniu/PRJNA579178/SRR10338103_scRNAseq_of_homo_sapiens_HNSCC_PBMC_2.fastq.gz
SRR10338104	2000	/scratch/n/nicholsa/zyfniu/PRJNA579178/SRR10338104_scRNAseq_of_homo_sapiens_HNSCC_TIL_1.fastq.gz	/scratch/n/nicholsa/zyfniu/PRJNA579178/SRR10338104_scRNAseq_of_homo_sapiens_HNSCC_TIL_2.fastq.gz
SRR10338105	2000	/scratch/n/nicholsa/zyfniu/PRJNA579178/SRR10338105_scRNAseq_of_homo_sapiens_HNSCC_TIL_1.fastq.gz	/scratch/n/nicholsa/zyfniu/PRJNA579178/SRR10338105_scRNAseq_of_homo_sapiens_HNSCC_TIL_2.fastq.gz
SRR10338106	2000	/scratch/n/nicholsa/zyfniu/PRJNA579178/SRR10338106_scRNAseq_of_homo_sapiens_HNSCC_PBMC_1.fastq.gz	/scratch/n/nicholsa/zyfniu/PRJNA579178/SRR10338106_scRNAseq_of_homo_sapiens_HNSCC_PBMC_2.fastq.gz
SRR10338107	2000	/scratch/n/nicholsa/zyfniu/PRJNA579178/SRR10338107_scRNAseq_of_homo_sapiens_HNSCC_TIL_1.fastq.gz	/scratch/n/nicholsa/zyfniu/PRJNA579178/SRR10338107_scRNAseq_of_homo_sapiens_HNSCC_TIL_2.fastq.gz
SRR10338108	2000	/scratch/n/nicholsa/zyfniu/PRJNA579178/SRR10338108_scRNAseq_of_homo_sapiens_HNSCC_PBMC_1.fastq.gz	/scratch/n/nicholsa/zyfniu/PRJNA579178/SRR10338108_scRNAseq_of_homo_sapiens_HNSCC_PBMC_2.fastq.gz
SRR10338109	2000	/scratch/n/nicholsa/zyfniu/PRJNA579178/SRR10338109_scRNAseq_of_homo_sapiens_HNSCC_TIL_1.fastq.gz	/scratch/n/nicholsa/zyfniu/PRJNA579178/SRR10338109_scRNAseq_of_homo_sapiens_HNSCC_TIL_2.fastq.gz
SRR10338110	2000	/scratch/n/nicholsa/zyfniu/PRJNA579178/SRR10338110_scRNAseq_of_homo_sapiens_HNSCC_PBMC_1.fastq.gz	/scratch/n/nicholsa/zyfniu/PRJNA579178/SRR10338110_scRNAseq_of_homo_sapiens_HNSCC_PBMC_2.fastq.gz
SRR10338111	2000	/scratch/n/nicholsa/zyfniu/PRJNA579178/SRR10338111_scRNAseq_of_homo_sapiens_HNSCC_TIL_1.fastq.gz	/scratch/n/nicholsa/zyfniu/PRJNA579178/SRR10338111_scRNAseq_of_homo_sapiens_HNSCC_TIL_2.fastq.gz
SRR10338112	2000	/scratch/n/nicholsa/zyfniu/PRJNA579178/SRR10338112_scRNAseq_of_homo_sapiens_HNSCC_PBMC_1.fastq.gz	/scratch/n/nicholsa/zyfniu/PRJNA579178/SRR10338112_scRNAseq_of_homo_sapiens_HNSCC_PBMC_2.fastq.gz
SRR10338113	2000	/scratch/n/nicholsa/zyfniu/PRJNA579178/SRR10338113_scRNAseq_of_homo_sapiens_HNSCC_TIL_1.fastq.gz	/scratch/n/nicholsa/zyfniu/PRJNA579178/SRR10338113_scRNAseq_of_homo_sapiens_HNSCC_TIL_2.fastq.gz
SRR10338114	2000	/scratch/n/nicholsa/zyfniu/PRJNA579178/SRR10338114_scRNAseq_of_homo_sapiens_HNSCC_PBMC_1.fastq.gz	/scratch/n/nicholsa/zyfniu/PRJNA579178/SRR10338114_scRNAseq_of_homo_sapiens_HNSCC_PBMC_2.fastq.gz
SRR10338115	2000	/scratch/n/nicholsa/zyfniu/PRJNA579178/SRR10338115_scRNAseq_of_homo_sapiens_HNSCC_PBMC_1.fastq.gz	/scratch/n/nicholsa/zyfniu/PRJNA579178/SRR10338115_scRNAseq_of_homo_sapiens_HNSCC_PBMC_2.fastq.gz
SRR10338116	2000	/scratch/n/nicholsa/zyfniu/PRJNA579178/SRR10338116_scRNAseq_of_homo_sapiens_HNSCC_TIL_1.fastq.gz	/scratch/n/nicholsa/zyfniu/PRJNA579178/SRR10338116_scRNAseq_of_homo_sapiens_HNSCC_TIL_2.fastq.gz
SRR10338117	2000	/scratch/n/nicholsa/zyfniu/PRJNA579178/SRR10338117_scRNAseq_of_homo_sapiens_HNSCC_PBMC_1.fastq.gz	/scratch/n/nicholsa/zyfniu/PRJNA579178/SRR10338117_scRNAseq_of_homo_sapiens_HNSCC_PBMC_2.fastq.gz
SRR10338118	2000	/scratch/n/nicholsa/zyfniu/PRJNA579178/SRR10338118_scRNAseq_of_homo_sapiens_HNSCC_TIL_1.fastq.gz	/scratch/n/nicholsa/zyfniu/PRJNA579178/SRR10338118_scRNAseq_of_homo_sapiens_HNSCC_TIL_2.fastq.gz
SRR10338119	2000	/scratch/n/nicholsa/zyfniu/PRJNA579178/SRR10338119_scRNAseq_of_homo_sapiens_HNSCC_PBMC_1.fastq.gz	/scratch/n/nicholsa/zyfniu/PRJNA579178/SRR10338119_scRNAseq_of_homo_sapiens_HNSCC_PBMC_2.fastq.gz
SRR10338120	2000	/scratch/n/nicholsa/zyfniu/PRJNA579178/SRR10338120_scRNAseq_of_homo_sapiens_HNSCC_TIL_1.fastq.gz	/scratch/n/nicholsa/zyfniu/PRJNA579178/SRR10338120_scRNAseq_of_homo_sapiens_HNSCC_TIL_2.fastq.gz
SRR10338121	2000	/scratch/n/nicholsa/zyfniu/PRJNA579178/SRR10338121_scRNAseq_of_homo_sapiens_HNSCC_PBMC_1.fastq.gz	/scratch/n/nicholsa/zyfniu/PRJNA579178/SRR10338121_scRNAseq_of_homo_sapiens_HNSCC_PBMC_2.fastq.gz
SRR10338122	2000	/scratch/n/nicholsa/zyfniu/PRJNA579178/SRR10338122_scRNAseq_of_homo_sapiens_HNSCC_TIL_1.fastq.gz	/scratch/n/nicholsa/zyfniu/PRJNA579178/SRR10338122_scRNAseq_of_homo_sapiens_HNSCC_TIL_2.fastq.gz
SRR10338123	2000	/scratch/n/nicholsa/zyfniu/PRJNA579178/SRR10338123_scRNAseq_of_homo_sapiens_HNSCC_PBMC_1.fastq.gz	/scratch/n/nicholsa/zyfniu/PRJNA579178/SRR10338123_scRNAseq_of_homo_sapiens_HNSCC_PBMC_2.fastq.gz
SRR10338124	2000	/scratch/n/nicholsa/zyfniu/PRJNA579178/SRR10338124_scRNAseq_of_homo_sapiens_HNSCC_TIL_1.fastq.gz	/scratch/n/nicholsa/zyfniu/PRJNA579178/SRR10338124_scRNAseq_of_homo_sapiens_HNSCC_TIL_2.fastq.gz
SRR10338125	2000	/scratch/n/nicholsa/zyfniu/PRJNA579178/SRR10338125_scRNAseq_of_homo_sapiens_HNSCC_PBMC_1.fastq.gz	/scratch/n/nicholsa/zyfniu/PRJNA579178/SRR10338125_scRNAseq_of_homo_sapiens_HNSCC_PBMC_2.fastq.gz
SRR10338126	2000	/scratch/n/nicholsa/zyfniu/PRJNA579178/SRR10338126_scRNAseq_of_homo_sapiens_HNSCC_TIL_1.fastq.gz	/scratch/n/nicholsa/zyfniu/PRJNA579178/SRR10338126_scRNAseq_of_homo_sapiens_HNSCC_TIL_2.fastq.gz
SRR10338127	2000	/scratch/n/nicholsa/zyfniu/PRJNA579178/SRR10338127_scRNAseq_of_homo_sapiens_HNSCC_PBMC_1.fastq.gz	/scratch/n/nicholsa/zyfniu/PRJNA579178/SRR10338127_scRNAseq_of_homo_sapiens_HNSCC_PBMC_2.fastq.gz
